expt_number,ionic_strength,temperature,nominal_pH,P_phosphate,F_TFP_1,F_TFP_2,H_acetate,H_cacodylate,H_formate,H_imidazole_1,H_imidazole_2,H_TFP_3,H_maleate,H_HEPES_1,H_Tris,H_piperazine,H_HEPES_2,H_HEPES_3,H_HEPES_4
2,0,283,9.75,2.469351808,-133.4458337,-130.4034816,1.90863314,1.601691011,8.437989685,7.762348302,7.118353604,6.679601491,5.986446893,3.731543703,3.523843124,3.038389105,2.57628604,2.806415824,3.116123198
5,0,298,9.75,2.543297081,-133.4645661,-130.6584682,1.905253397,1.600462013,8.44075493,7.76818604,7.126956587,6.689433472,5.982452651,3.729085708,3.522614126,missing,missing,missing,missing
8,0,310,9.75,2.600432631,-133.4879944,-130.8617894,1.902180903,1.598618517,8.442598426,7.770336786,7.131565327,6.69496396,5.97815116,3.726627713,3.521999627,missing,missing,missing,missing
11,0,283,9,2.447376912,-133.4187863,-130.2733625,1.90894039,1.60230551,8.437989685,7.779554267,7.124805841,6.681444988,5.986446893,3.736766943,3.566858037,3.088163505,2.598715244,2.812560812,3.117659445
14,0,298,9,2.508196246,-133.4204543,-130.4595558,1.904593215,1.600793215,8.439833182,7.783855758,7.132179826,6.692198716,5.982145402,3.735845195,3.557640555,missing,missing,missing,missing
17,0,310,9,2.543053735,-133.4235015,-130.5668329,1.901873654,1.600154764,8.442905675,7.786621003,7.138017564,6.7001872,5.979687407,3.736459694,3.553646313,missing,missing,missing,missing
20,0,283,8.5,2.389998016,-133.3330863,-129.8695685,1.90894039,1.603534507,8.437989685,7.831786661,7.144469801,6.688511723,5.987675891,3.753358409,3.631380406,3.104140472,2.663237614,2.829459528,3.122268186
23,0,298,8.5,2.426097634,-133.3182335,-129.9736149,1.905560646,1.603534507,8.44075493,7.822876429,7.147542295,6.701108948,5.984603397,3.753358409,3.610180199,missing,missing,missing,missing
26,0,310,8.5,2.443863538,-133.3127879,-130.0527113,1.902180903,1.603227257,8.443212925,7.815502444,7.149385791,6.709711931,5.982145402,3.752436661,3.593895982,missing,missing,missing,missing
29,0,283,8.25,2.350624284,-133.2762601,-129.5981062,1.908940389,1.604456255,8.437989685,7.866198592,7.157374275,6.693120464,5.98798314,3.763190389,3.652273364,3.106905717,2.702565534,2.839598757,3.125340679
32,0,298,8.25,2.376350953,-133.2561604,-129.6818502,1.905253397,1.605070754,8.44075493,7.846534631,7.156759776,6.706332187,5.985832394,3.76288314,3.629844159,missing,missing,missing,missing
35,0,310,8.25,2.380380504,-133.2479338,-129.7396358,1.902180903,1.605070754,8.443212925,7.83240116,7.155530779,6.714627921,5.983374399,3.760732394,3.610794698,missing,missing,missing,missing
38,0,283,8,2.255706983,-133.1400681,-128.9558206,1.90894039,1.606914251,8.437989685,7.943318186,7.186255717,6.704181442,5.989826636,3.784390597,3.678389561,3.111821707,2.784293869,2.861106214,3.131792916
41,0,298,8,2.265255644,-133.1233639,-129.0553133,1.905253397,1.608143248,8.44075493,7.89661628,7.175501989,6.717085916,5.988290389,3.781010853,3.657496603,missing,missing,missing,missing
44,0,310,8,2.257687334,-133.1189977,-129.134717,1.902180903,1.609064996,8.443212925,7.867427589,7.169049752,6.72476715,5.986446893,3.776402113,3.636603645,missing,missing,missing,missing
47,0,283,7.75,2.064340219,-132.8940842,-127.7852797,1.908940389,1.612137489,8.437682436,8.073284673,7.234801119,6.724459901,5.993513629,3.815422784,3.698053521,3.118581193,2.893981897,2.893981897,3.141010398
50,0,298,7.75,2.054355639,-132.888575,-127.94345,1.905560646,1.615209983,8.44075493,7.987562096,7.209913919,6.736135377,5.99320638,3.808048799,3.68392005,missing,missing,missing,missing
53,0,310,7.75,2.034886302,-132.8943245,-128.0812239,1.902488152,1.617360729,8.443520174,7.933178956,7.194244201,6.743202113,5.99289913,3.800674814,3.666714085,missing,missing,missing,missing
56,0,283,7.5,1.790874843,-132.5848691,-126.3198859,1.908940389,1.62166222,8.437989685,8.219535377,7.289798757,6.74965435,6.000273115,3.844304225,3.708807249,3.128413173,3.015652651,2.921634341,3.14992063
59,0,298,7.5,1.764409092,-132.5913271,-126.5417522,1.905867895,1.627192709,8.44075493,8.104624109,7.25385058,6.759793579,6.001502113,3.835086744,3.701433264,missing,missing,missing,missing
62,0,310,7.5,1.732424229,-132.6078068,-126.7315622,1.902488153,1.631186951,8.442905675,8.02504652,7.228656131,6.765631317,6.00303836,3.826176512,3.689450539,missing,missing,missing,missing
65,0,283,7.25,1.590659122,-132.3868325,-125.3767992,1.909247638,1.630265203,8.437989685,8.304950704,7.322059942,6.765938567,6.006110853,3.858744946,3.712494242,3.136401657,3.072186537,2.936689561,3.153914872
68,0,298,7.25,1.558699646,-132.399467,-125.6291623,1.906175145,1.637946437,8.44075493,8.18327995,7.28365377,6.775463298,6.009183347,3.849834714,3.7085,missing,missing,missing,missing
71,0,310,7.25,1.523052301,-132.4194211,-125.8432926,1.902795402,1.643169677,8.443212925,8.092026885,7.254157829,6.780993786,6.012255841,3.840924482,3.700204267,missing,missing,missing,missing
74,0,283,7,1.23997436,-132.0883476,-123.9530186,1.909862138,1.651158161,8.43821662,8.42541662,7.367225601,6.790518517,6.020858824,3.877487158,3.716795733,3.153914872,missing,2.955124524,missing
77,0,298,7,1.204659651,-132.0999029,-124.2139532,1.906200464,1.662200464,8.44075493,8.310173944,7.331584673,6.799428749,6.02761831,3.868884176,3.716181235,missing,missing,missing,missing
80,0,310,7,1.167791478,-132.1179267,-124.4269254,1.903409901,1.670514872,8.443212925,8.212161392,7.299630737,6.804959238,6.033456048,3.861202941,3.712494242,missing,missing,missing,missing
83,0,283,6.75,0.762020367,-131.7551983,-122.3691116,1.910783886,1.702161558,8.437682436,8.54921396,7.414234756,6.817556462,6.058650497,3.892849627,3.719560978,3.19447179,missing,2.97171599,3.165283099
86,0,298,6.75,0.731281718,-131.7508473,-122.5573927,1.907711392,1.719060274,8.441676678,8.467178376,7.391498302,6.828002941,6.071554971,3.887011889,3.722326222,missing,missing,missing,missing
89,0,310,6.75,0.699604105,-131.7554386,-122.7191008,1.904946148,1.73073575,8.442670224,8.385770224,7.365770224,6.834070224,6.082370224,3.881170224,3.722970224,missing,missing,missing,missing
92,0,283,6.5,0.635054299,-131.677991,-122.0043073,1.911705634,1.724590762,8.437682436,8.576866404,7.424681235,6.824008699,6.076163712,3.895922121,3.719868227,3.212599503,missing,2.975095733,3.166204847
95,0,298,6.5,0.605536479,-131.6666914,-122.1605473,1.90863314,1.742718476,8.44044768,8.507428045,7.406553521,6.834762428,6.090911682,3.891006131,3.72355522,missing,missing,missing,missing
98,0,310,6.5,0.576910935,-131.6662643,-122.2994794,1.906175145,1.755008451,8.443470224,8.434870224,7.384431566,6.841214665,6.103508906,3.886090141,3.725091467,missing,missing,missing,missing
101,0,283,6.25,0.429648018,-131.5628734,-121.4529687,1.913549131,1.777744905,8.437375187,8.617730572,7.440350953,6.83353343,6.119485874,3.900530862,3.720789975,3.259915907,3.234721458,2.980011723,3.167433844
104,0,298,6.25,0.400437447,-131.5365971,-121.5428893,1.911091135,1.797101616,8.44044768,8.571643165,7.430826222,6.845516156,6.138228086,3.896843869,3.725398716,missing,missing,missing,missing
107,0,310,6.25,0.374863972,-131.5238169,-121.6266181,1.908940389,1.809391591,8.442598426,8.520025269,7.416692751,6.852582892,6.152361558,3.892849627,3.72816396,missing,missing,missing,missing
110,0,283,6,0.291084089,-131.4906847,-121.1078522,1.917850622,1.835815038,8.437067937,8.64353952,7.450182933,6.839371168,6.170182022,3.903296106,3.721404474,3.32290203,3.245475186,2.983391466,3.168662842
113,0,298,6,0.260955855,-131.4523624,-121.1436489,1.916007125,1.853021002,8.439833182,8.614350829,7.447110439,6.852275642,6.189845982,3.900223612,3.726627713,missing,missing,missing,missing
116,0,310,6,0.235992793,-131.4291592,-121.1818255,1.914470879,1.863774731,8.442291177,8.581782395,7.440350953,6.860264126,6.204593952,3.897151119,3.730314706,missing,missing,missing,missing
119,0,283,5.75,0.201349178,-131.4484491,-120.9042535,1.924610108,1.887740182,8.43583894,8.65828749,7.455713422,6.842750911,6.22057092,3.904832353,3.721404474,3.391725891,3.251312925,2.985542212,3.169277341
122,0,298,5.75,0.171225028,-131.4014056,-120.9035344,1.924610107,1.900951905,8.438911433,8.640774275,7.457249669,6.856577134,6.239005882,3.902681607,3.727242212,missing,missing,missing,missing
125,0,310,5.75,0.146565131,-131.371947,-120.9095911,1.923995609,1.908940389,8.44075493,8.621417564,7.455406172,6.864872867,6.251910356,3.899609114,3.731236454,missing,missing,missing,missing
128,0,283,5.25,0.144584781,-131.4219702,-120.7797213,1.939509371,1.931209371,8.433995443,8.667812221,7.459400414,6.845208906,6.266965576,3.906061351,3.721711723,3.463929495,3.255614416,2.988921955,3.170506338
131,0,298,5.25,0.115677374,-131.3716808,-120.7599288,1.941385965,1.938085965,8.436146189,8.656443994,7.463394656,6.859035129,6.27987005,3.903910605,3.727549462,missing,missing,missing,missing
134,0,310,5.25,0.092545554,-131.3376686,-120.7486927,1.943062975,1.942162975,8.437682436,8.645383016,7.464623654,6.867638111,6.288780282,3.90114536,3.731850953,missing,missing,missing,missing
137,0,283,5,0.108263118,-131.4060639,-120.7051375,1.977149751,1.963630779,8.425085211,8.67303546,7.46155116,6.846437904,6.304142751,3.907290348,3.721711723,3.529680862,3.259915907,2.997217689,3.173578832
140,0,298,5,0.080273374,-131.3531511,-120.6726846,1.980529494,1.964552527,8.427235957,8.665968724,7.467081649,6.860264126,6.310902237,3.905139602,3.727856711,missing,missing,missing,missing
143,0,310,5,0.05958321,-131.3183668,-120.655658,1.983601989,1.964245278,8.428464955,8.659823737,7.470154143,6.869174358,6.315203728,3.902681607,3.732158202,missing,missing,missing,missing
146,0,283,4.75,0.103072559,-131.404441,-120.6938637,1.990361475,1.968546769,8.420476471,8.673957208,7.461858409,6.846745153,6.30967324,3.907597597,3.721711723,3.541049089,3.261759404,3.001826429,3.175115079
149,0,298,4.75,0.074775565,-131.3506773,-120.661332,1.993433969,1.96823952,8.422627216,8.667197722,7.467081649,6.860264126,6.315510978,3.905446852,3.727549462,missing,missing,missing,missing
152,0,310,4.75,0.055003064,-131.3148136,-120.64284,1.996506462,1.967625021,8.423856214,8.661974482,7.471075891,6.869481607,6.318890721,3.903296106,3.732158202,missing,missing,missing,missing
155,0,283,4.5,0.096968421,-131.4009667,-120.6818966,2.017092171,1.974999006,8.406957498,8.674878956,7.462165659,6.846745153,6.317354474,3.908826595,3.722018973,3.555797059,3.266060895,3.015959901,3.180031069
